;projectID;topic;title
230;190191933;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
231;190117010;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
232;101046504;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
233;190134230;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-01;Strategic Digital and Health Technologies
234;190111938;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
235;101046928;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
236;101099753;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
237;190135342;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
238;101098813;HORIZON-EIC-2022-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2022
239;190176001;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
240;101046937;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
241;101070891;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-02;Tools to measure and stimulate activity in Brain Tissue
242;101047099;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
243;101047028;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
244;190154511;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
245;101057919;HORIZON-EIC-2021-TRANSITIONOPEN-01;EIC Transition Open 2021
246;101098475;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
247;101099775;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
248;190183836;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
249;190102649;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
250;190161361;HORIZON-EIC-2022-ACCELERATOROPEN-01;EIC Accelerator Open
251;101087110;HORIZON-WIDERA-2022-TALENTS-01-01;ERA Chairs
252;101072133;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
253;101058569;HORIZON-WIDERA-2021-ERA-01-70;Developing a STE(A)M roadmap for Science Education in Horizon Europe
254;101058158;HORIZON-WIDERA-2021-ERA-01-44;Societal trust in science, research and innovation
255;101079355;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
256;101076414;ERC-2022-STG;ERC STARTING GRANTS
257;101078370;ERC-2022-STG;ERC STARTING GRANTS
258;190167638;HORIZON-EIC-2021-ACCELERATORCHALLENGES-01-02;Green Deal innovations for the Economic Recovery
259;101099699;HORIZON-EIC-2022-TRANSITIONOPEN-01;EIC Transition Open 2022
260;101079485;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
261;101079234;HORIZON-WIDERA-2021-ACCESS-03-01;Twinning
262;101046973;HORIZON-EIC-2021-PATHFINDEROPEN-01-01;EIC Pathfinder Open 2021
263;101071179;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-01;Awareness Inside
264;101070740;HORIZON-EIC-2021-PATHFINDERCHALLENGES-01-03;Emerging Technologies in Cell and Gene therapy
265;101058011;HORIZON-EIC-2021-TRANSITIONOPEN-01;EIC Transition Open 2021
266;190149849;HORIZON-EIC-2021-ACCELERATOROPEN-01;EIC Accelerator Open 2021
267;101090340;HORIZON-WIDERA-2022-TALENTS-02-01;Fostering balanced brain circulation – ERA Fellowships
268;101071989;HORIZON-EIE-2021-SCALEUP-01-03;Women TechEU
269;101058111;HORIZON-EIC-2021-TRANSITIONCHALLENGES-01-01;Medical Technology and Devices: from Lab to Patient
