;projectID;topic;title
30131;676240;MSCA-ITN-2015-EID;Marie Skłodowska-Curie Innovative Training Networks (ITN-EID)
30132;815141;EUK-01-2018;Cloud, IoT and AI technologies
30133;802822;ERC-2018-STG;ERC Starting Grant
30134;101028938;MSCA-IF-2020;Individual Fellowships
30135;762873;SMEInst-01-2016-2017;Open Disruptive Innovation Scheme
30136;763566;WIDESPREAD-04-2017;Teaming Phase 1
30137;633243;MSCA-NIGHT-2014;European Researchers' Night (NIGHT)
30138;801370;MSCA-COFUND-2017;Co-funding of regional, national and international programmes
30139;759577;ERC-2017-STG;ERC Starting Grant
30140;101021560;ERC-2020-ADG;ERC ADVANCED GRANT
30141;795249;MSCA-IF-2017;Individual Fellowships
30142;101007653;MSCA-RISE-2020;Research and Innovation Staff Exchange
30143;865075;ERC-2019-COG;ERC Consolidator Grant
30144;803277;ERC-2018-STG;ERC Starting Grant
30145;101022647;MSCA-IF-2020;Individual Fellowships
30146;693244;INT-07-2015;Towards a new geopolitical order in the South and East Mediterranean region
30147;681908;ERC-CoG-2015;ERC Consolidator Grant
30148;101002763;ERC-2020-COG;ERC CONSOLIDATOR GRANTS
30149;668142;PHC-11-2015;Development of new diagnostic tools and technologies: in vivo medical imaging technologies
30150;648680;ERC-CoG-2014;ERC Consolidator Grant
30151;759063;ERC-2017-STG;ERC Starting Grant
30152;702725;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30153;741316;MSCA-IF-2016;Individual Fellowships
30154;750444;MSCA-IF-2016;Individual Fellowships
30155;841260;MSCA-IF-2018;Individual Fellowships
30156;822314;TRANSFORMATIONS-06-2018;Inclusive and sustainable growth through cultural and creative industries and the arts
30157;947867;ERC-2020-STG;ERC STARTING GRANTS
30158;679586;ERC-StG-2015;ERC Starting Grant
30159;655341;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30160;793526;MSCA-IF-2017;Individual Fellowships
30161;843172;MSCA-IF-2018;Individual Fellowships
30162;746909;MSCA-IF-2016;Individual Fellowships
30163;655492;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30164;657796;MSCA-IF-2014-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30165;648837;ERC-CoG-2014;ERC Consolidator Grant
30166;891155;MSCA-IF-2019;Individual Fellowships
30167;703639;MSCA-IF-2015-EF;Marie Skłodowska-Curie Individual Fellowships (IF-EF)
30168;957463;ERC-2020-POC;Call for proposals for ERC Proof of Concept Grant
30169;793117;MSCA-IF-2017;Individual Fellowships
30170;856543;ERC-2019-SyG;ERC Synergy Grant
30171;787355;ERC-2017-ADG;ERC Advanced Grant
30172;894331;MSCA-IF-2019;Individual Fellowships
30173;844112;MSCA-IF-2018;Individual Fellowships
30174;751739;MSCA-IF-2016;Individual Fellowships
30175;714151;ERC-2016-STG;ERC Starting Grant
